water_flux_ms,vapor_flux_ms
-4.527309492876328e-07,9.595432476240967e-09
-2.8096568172021826e-07,9.972415631359188e-09
3.897238946340529e-08,1.0617735677665868e-08
4.698444042882357e-07,1.1176720357852023e-08
8.68526598198322e-07,1.1444612555858526e-08
1.0583623042507242e-06,1.1378456561203592e-08
9.681601740229343e-07,1.1057843500134321e-08
6.967746863213568e-07,1.0624582043357602e-08
4.330344486765593e-07,1.0213162835344494e-08
3.1122905228184287e-07,9.895309150077504e-09
3.183094567717688e-07,9.673743725629944e-09
3.3516563073127873e-07,9.514369293272253e-09
2.7686335191146874e-07,9.377696532926608e-09
1.7533527851782587e-07,9.235338858077989e-09
1.2803591479840815e-07,9.074932360031409e-09
1.9057004949526862e-07,8.897580998142169e-09
3.1160377128622745e-07,8.711925228164299e-09
3.714486717044045e-07,8.528137029523635e-09
2.996196608686729e-07,8.353782866645866e-09
1.2718759159372868e-07,8.192054708992696e-09
-6.56962246601634e-08,8.042085145819032e-09
-1.9189607817163784e-07,7.900667369142003e-09
-1.982928849515903e-07,7.76406110505456e-09
-1.306211659398127e-07,7.629006731530754e-09
-9.783437388037568e-08,7.493336701872864e-09
-1.4796025391806918e-07,7.356368738328908e-09
-2.2340632274668846e-07,7.218721404321627e-09
-2.402093448622899e-07,7.0816763720835464e-09
-1.8741635526396274e-07,6.946513924791124e-09
-1.306532020530753e-07,6.814087878994573e-09
-1.2636753479408626e-07,6.684680605781939e-09
-1.7869596508544157e-07,6.558053850335173e-09
-2.6745743309363186e-07,6.433698505364991e-09
-3.546840934577037e-07,6.311168340629905e-09
-3.9727341220613335e-07,6.19020376899472e-09
-3.901374712678802e-07,6.070652473608279e-09
-3.532823841907106e-07,5.945038614111477e-09
-2.9761017169109864e-07,5.788382588839215e-09
-2.3568748392196425e-07,5.580910561974351e-09
-1.9059990397861615e-07,5.348602578917719e-09
-1.8918694146963647e-07,5.152152806652873e-09
-2.5301982756489086e-07,5.036029412924859e-09
-3.701949990956878e-07,5.002522809083034e-09
-4.579911488276973e-07,5.020504905662148e-09
-3.884488846365727e-07,5.046723898898654e-09
-1.1619487975704726e-07,4.981294707678274e-09
2.3461461859736586e-07,4.590178756264749e-09
4.738864864518393e-07,3.702699554491141e-09
5.289270393030156e-07,2.556817324382784e-09
4.928229053421403e-07,1.6958643525899386e-09
5.070846159424955e-07,1.521052545508131e-09
6.189363718289225e-07,2.0625837553733393e-09
7.392794388834798e-07,3.0383020361702374e-09
7.312901098018794e-07,4.01768477514185e-09
5.485887466375351e-07,4.640921771428313e-09
2.860644553424302e-07,4.800071424111647e-09
1.0718933735576064e-07,4.625560183584144e-09
1.1609075302028192e-07,4.328351231236609e-09
2.6450918225805354e-07,4.073474828762426e-09
3.9216315834460424e-07,3.9366461095704785e-09
3.8176237251421546e-07,3.913610278859327e-09
2.6149133708483504e-07,3.953861753762327e-09
